Wall time,Step,Value
1759053786.9639363,190,-119.7293930053711
1759053865.5255458,511,-111.4845199584961
1759053888.0731118,606,-1.0317727327346802
1759053915.516831,720,-1.2143436670303345
1759053927.249786,769,-7.452098369598389
1759053929.950538,780,-5.763111114501953
1759053956.253285,886,-8.296998023986816
1759053960.4931803,903,-9.867671012878418
1759053966.7105792,929,-1.086058259010315
1759053975.490556,963,-0.824998140335083
1759054001.12629,1073,-3.0012929439544678
1759054013.4754121,1123,-4.138192653656006
1759054028.9401429,1184,-0.17032773792743683
1759054047.3241591,1258,-0.8124679923057556
1759054057.7337956,1299,-12.499516487121582
1759054070.5051877,1349,-6.41686487197876
1759054105.7329311,1497,-0.7196900844573975
1759054121.211925,1557,-0.5856480598449707
1759054123.9128318,1567,-7.538931369781494
1759054131.1711094,1596,-13.318559646606445
1759054134.1731079,1608,-8.394246101379395
1759054156.3628683,1696,-0.9982207417488098
1759054161.5611143,1717,-3.031794309616089
1759054191.9980574,1838,-1.1464078426361084
1759054197.4803083,1860,-2.827465295791626
1759054202.4772835,1881,-6.3503570556640625
1759054206.2548196,1896,-0.5365999937057495
1759054230.526217,1989,-1.2061935663223267
1759054243.5826898,2041,-1.968355417251587
1759054270.3324714,2151,-6.669004917144775
1759054295.578758,2255,-1.4780958890914917
1759054300.4531884,2275,-8.475480079650879
1759054316.1014106,2337,-14.426031112670898
1759054343.0835621,2445,-1.023152470588684
1759054369.9875968,2553,-0.7750272154808044
1759054371.9679737,2561,-15.83525562286377
1759054394.883845,2652,-8.346773147583008
1759054395.3980467,2654,-0.12339265644550323
1759054415.9961703,2738,-11.82367992401123
1759054425.0478868,2775,-9.459622383117676
1759054437.022555,2823,-0.5524724125862122
1759054440.1863046,2836,-6.462296962738037
1759054447.2332594,2863,-2.7450387477874756
1759054454.3277235,2891,-6.42997932434082
1759054477.3098886,2982,-4.447436809539795
1759054491.2359912,3040,-0.20700734853744507
1759054495.6510215,3059,-7.014187335968018
1759054497.6270423,3067,-14.373435020446777
1759054503.7950642,3093,-9.88456916809082
1759054549.673076,3282,-11.543400764465332
1759054551.4634266,3289,-12.737993240356445
1759054572.2054088,3375,-2.1014328002929688
1759054584.7852216,3427,-0.44395655393600464
1759054585.6969326,3431,-1.4883012771606445
1759054586.684715,3435,-0.7200812697410583
1759054608.384602,3523,-0.29885348677635193
1759054616.4599345,3555,-0.5419068932533264
1759054621.288933,3575,-7.861141681671143
1759054624.625935,3589,-11.24404239654541
1759054641.4692845,3660,-3.50207781791687
1759054648.4845488,3688,-1.1501927375793457
1759054671.4000852,3781,-5.901364803314209
1759054681.945669,3823,-0.10168763995170593
1759054704.0012684,3910,-2.976926565170288
1759054705.7190368,3917,-2.1723978519439697
1759054711.2671368,3940,-10.091958045959473
1759054724.7071962,3995,-4.749116897583008
1759054758.5546074,4134,-1.1904207468032837
1759054765.2854843,4161,-6.857572555541992
1759054780.3723788,4223,-0.5331643223762512
1759054782.4003534,4231,-14.563435554504395
1759054791.5837355,4268,-4.062870502471924
1759054792.8640313,4273,-6.461370468139648
1759054802.2019324,4310,-0.10225339978933334
1759054849.1854556,4499,-5.806722164154053
1759054852.2382078,4511,-2.4739363193511963
1759054854.6733792,4521,-6.955708026885986
1759054857.7540407,4533,-9.157501220703125
