Wall time,Step,Value
1759271868.2022004,182,-50.0
1759272013.206943,713,-5.0
1759272232.5131013,1524,-50.0
1759272295.9372025,1758,-50.0
1759272302.6525152,1782,-23.0
1759272386.9109337,2096,-1.0
1759272387.748424,2099,-2.0
1759272396.7899003,2132,0.0
1759272414.4359696,2199,-22.0
1759272440.8889792,2298,-9.0
1759272475.0260584,2426,-16.0
1759272492.8502433,2492,-1.0
1759272520.090205,2589,0.0
1759272546.1275725,2683,-6.0
1759272569.631038,2770,-4.0
1759272626.0439365,2966,-6.0
1759272646.377904,3041,-8.0
1759272649.9409513,3054,-10.0
1759272704.0921865,3252,-5.0
1759272716.9479358,3298,-10.0
1759272736.587951,3372,-4.0
1759272747.863167,3414,-5.0
1759272751.5331662,3428,-3.0
1759272757.646501,3451,-14.0
1759272776.7005703,3521,-4.0
1759272824.365389,3693,-11.0
1759272855.4524367,3810,-2.0
1759272861.4389162,3833,-7.0
1759272880.2349637,3902,-8.0
1759272913.5319705,4022,-7.0
1759272943.8086004,4131,-15.0
1759272947.6994622,4145,-13.0
1759272975.9527347,4242,-4.0
1759272981.109541,4261,-18.0
1759273000.5539665,4347,-1.0
1759273014.9403274,4400,-9.0
1759273029.8647468,4453,-8.0
1759273034.5462677,4468,-1.0
1759273055.0264668,4535,-5.0
1759273092.2209883,4673,-5.0
1759273097.9834478,4695,-11.0
1759273104.5519311,4720,-9.0
1759273154.902064,4902,-3.0
1759273185.913343,5018,-6.0
1759273195.0190382,5053,0.0
1759273198.3607576,5065,-6.0
1759273218.998326,5136,-9.0
1759273234.5230646,5188,-7.0
1759273242.4672992,5218,-9.0
1759273246.1226943,5233,-7.0
1759273262.201191,5294,-3.0
1759273267.1514223,5312,-14.0
1759273291.7487614,5398,-3.0
1759273305.5360708,5448,-2.0
1759273340.6775897,5576,-10.0
1759273341.7163517,5580,-3.0
1759273345.421004,5595,-4.0
1759273359.3789802,5646,-4.0
1759273382.1319394,5732,-5.0
1759273387.4250813,5752,-4.0
1759273403.0843253,5809,-7.0
1759273403.9329348,5812,-2.0
1759273412.8256671,5846,0.0
1759273416.6789327,5859,-12.0
1759273433.572503,5924,-16.0
1759273476.3727746,6080,-5.0
1759273481.1125972,6099,-8.0
1759273482.563388,6104,-4.0
1759273485.4958339,6114,-9.0
1759273489.7264247,6129,-4.0
1759273491.3315656,6135,-4.0
1759273519.3224845,6240,-5.0
1759273520.1489723,6243,-2.0
1759273523.41687,6256,-7.0
1759273526.9699337,6270,-11.0
1759273529.979154,6281,-5.0
1759273540.329233,6317,-6.0
1759273551.29494,6357,-3.0
1759273563.7816246,6402,-11.0
1759273574.9724205,6442,-9.0
1759273577.5447412,6452,-4.0
1759273586.9324827,6485,-10.0
1759273619.1909442,6603,-7.0
1759273630.9151535,6646,-6.0
1759273635.318436,6662,-7.0
1759273668.2781646,6776,-8.0
1759273687.0910463,6840,-6.0
1759273694.73254,6867,-6.0
1759273695.912525,6871,-3.0
1759273707.7003574,6911,-3.0
1759273720.2764947,6957,-2.0
1759273722.8853328,6967,-9.0
1759273748.9799452,7061,-3.0
1759273762.6280756,7111,-6.0
1759273775.647142,7157,-4.0
1759273776.4798124,7160,-2.0
1759273802.949913,7258,-7.0
1759273807.8490472,7276,-13.0
1759273855.502101,7443,-4.0
1759273860.519484,7461,0.0
1759273869.8179398,7495,-5.0
1759273894.0162885,7581,-6.0
1759273925.8334482,7695,-6.0
1759273947.7595057,7768,-2.0
1759273949.0783553,7772,-3.0
1759273958.0094297,7802,-8.0
1759273964.8685288,7825,-3.0
1759273993.0326383,7919,-6.0
1759273994.8215888,7925,-5.0
1759273997.8090842,7935,-2.0
1759274014.3428218,7995,-7.0
1759274034.9975517,8072,-3.0
1759274080.483423,8235,-5.0
1759274095.4123802,8289,-5.0
1759274104.5449357,8322,-6.0
1759274126.8123562,8408,-6.0
1759274146.9769287,8483,-4.0
1759274152.197335,8502,-9.0
1759274197.6957946,8670,-6.0
1759274201.6547322,8684,-6.0
1759274215.1000807,8733,-6.0
1759274227.0749388,8777,0.0
1759274250.4339323,8860,-5.0
1759274310.4949312,9081,-11.0
1759274314.3083498,9095,0.0
1759274317.2397263,9106,-4.0
1759274341.793216,9197,-9.0
1759274353.1752765,9238,-5.0
1759274361.39461,9269,-11.0
1759274363.9456258,9278,-3.0
1759274378.4302208,9330,-6.0
1759274408.2164733,9435,-6.0
1759274433.0053463,9525,-5.0
1759274435.0712123,9533,-7.0
1759274438.4525294,9545,-6.0
1759274449.8816094,9586,-9.0
1759274466.760457,9647,-8.0
1759274494.0839863,9744,-5.0
1759274499.157638,9762,-3.0
1759274503.405616,9778,-7.0
1759274508.4844997,9797,-3.0
1759274513.7095096,9817,-6.0
1759274516.1647906,9827,-6.0
1759274534.5804458,9897,-4.0
1759274542.6333153,9926,-6.0
1759274554.8709333,9970,-5.0
1759274557.9091244,9981,-9.0
1759274579.4559693,10056,-6.0
1759274587.2512755,10082,-5.0
1759274588.301965,10086,-3.0
1759274608.7389333,10163,-4.0
1759274626.6766455,10231,-7.0
1759274629.8658545,10243,-4.0
1759274644.8302023,10298,-7.0
1759274658.0790577,10347,-2.0
1759274659.9011571,10354,-6.0
1759274698.4223886,10493,-6.0
1759274703.0414903,10509,-6.0
1759274714.9805398,10551,-5.0
1759274749.7825103,10677,-7.0
1759274757.2151487,10705,-7.0
1759274757.9176502,10708,-2.0
1759274759.2489438,10713,-2.0
1759274765.360508,10736,-4.0
1759274770.3867328,10754,-2.0
1759274777.3627796,10781,-1.0
1759274784.4355512,10806,-9.0
1759274791.8300624,10832,-2.0
1759274801.632969,10868,-5.0
1759274816.4519458,10921,-9.0
1759274832.320904,10978,-11.0
1759274846.0579343,11028,-6.0
1759274861.008513,11081,-3.0
1759274870.9625566,11117,-5.0
1759274874.8929338,11131,-7.0
1759274877.6164892,11141,-9.0
1759274907.2254808,11252,-17.0
1759274929.7297008,11335,-7.0
1759274934.772416,11354,-4.0
1759274949.5749378,11412,-2.0
1759274951.640987,11420,-7.0
1759274957.668621,11442,-6.0
1759275022.202535,11683,-10.0
1759275052.724299,11798,-6.0
1759275054.9843712,11806,-7.0
1759275083.9389684,11908,-6.0
1759275085.9948041,11915,-6.0
1759275090.287119,11930,-2.0
1759275109.8157353,12001,-4.0
1759275114.0704772,12016,-6.0
1759275133.1911685,12083,-5.0
1759275137.6990428,12099,-1.0
1759275145.960571,12127,-6.0
1759275165.3953147,12196,-6.0
1759275178.9602377,12245,-10.0
1759275180.1651783,12250,-4.0
1759275185.2599707,12268,-7.0
1759275193.8931274,12298,-7.0
1759275215.510659,12381,-4.0
1759275228.0949345,12427,0.0
1759275241.80778,12476,-2.0
1759275245.211286,12489,-4.0
1759275265.7186837,12569,-5.0
1759275268.8666458,12581,0.0
1759275277.1601555,12611,-6.0
1759275281.2944095,12627,-6.0
1759275297.2304504,12684,-4.0
1759275314.085271,12746,-5.0
1759275320.9553528,12773,-6.0
1759275323.9271686,12785,-5.0
1759275361.7968838,12927,-2.0
1759275372.6118922,12967,-5.0
1759275375.754342,12979,-6.0
1759275396.4998932,13058,-2.0
1759275408.6169329,13103,-8.0
1759275430.597583,13185,-4.0
