Wall time,Step,Value
1759300087.5859687,50,-192.56385803222656
1759300115.6109366,150,-160.68894958496094
1759300128.9588242,200,-85.84428405761719
1759300141.3536127,250,-68.63095092773438
1759300180.312941,400,-70.18164825439453
1759300206.0001078,500,-91.48176574707031
1759300218.7609417,550,-54.4958381652832
1759300231.368964,600,-251.5299072265625
1759300271.6299412,750,-65.83717346191406
1759300284.5605092,800,-113.83662414550781
1759300297.580936,850,-80.49430084228516
1759300323.5443332,950,-38.49468231201172
1759300337.025534,1000,-73.59790802001953
1759300350.3321214,1050,-34.572784423828125
1759300376.1396003,1150,-75.70391082763672
1759300389.4794183,1200,-54.618568420410156
1759300430.0741503,1350,-31.555891036987305
1759300436.2374036,1375,-8.97148609161377
1759300449.148523,1425,-29.96860122680664
1759300461.9457748,1475,-39.776458740234375
1759300475.5122862,1525,-27.350116729736328
1759300488.5803149,1575,-38.66152572631836
1759300502.1382117,1625,-19.255151748657227
1759300514.9579563,1675,-60.25836944580078
1759300527.7253253,1725,-48.392921447753906
1759300553.7121365,1825,-25.53927993774414
1759300567.1697145,1875,-33.313438415527344
1759300579.925392,1925,-173.77951049804688
1759300593.335009,1975,-19.44361686706543
1759300605.902448,2025,-26.28302574157715
1759300645.0025983,2175,-34.73259735107422
1759300697.2733517,2375,-74.2103271484375
1759300704.644934,2404,-8.386417388916016
1759300717.440893,2454,-136.1236114501953
1759300730.650148,2504,-65.69862365722656
1759300744.1417723,2554,-64.43315887451172
1759300756.8723063,2604,-21.77271270751953
1759300769.5887337,2654,-64.14786529541016
1759300782.774035,2704,-27.78179168701172
1759300795.0701098,2754,-98.83306121826172
1759300821.7927694,2854,-38.32482147216797
1759300849.462947,2959,-9.49778938293457
1759300862.9587188,3009,-23.106403350830078
1759300876.165581,3059,-28.195472717285156
1759300889.1805832,3109,-190.91685485839844
1759300903.9552972,3168,-12.749320983886719
1759300916.8365474,3218,-12.05277156829834
1759300927.5530097,3258,-15.059075355529785
1759300940.3578117,3308,-19.292577743530273
1759300957.0032144,3370,-45.0109748840332
1759300970.6718304,3420,-31.68103790283203
1759300984.889481,3473,-88.40702819824219
1759301005.4493983,3548,-9.155467987060547
1759301028.6149077,3635,-29.964820861816406
1759301041.3791647,3685,-56.47736740112305
1759301047.4313831,3708,-9.66794490814209
1759301060.7519393,3758,-29.16952896118164
1759301074.1119802,3808,-22.10848045349121
1759301078.2027707,3823,-17.433427810668945
1759301091.5191193,3873,-146.65708923339844
1759301117.956186,3973,-70.77546691894531
1759301128.2105618,4011,-16.18785858154297
1759301133.838494,4031,-22.03255271911621
1759301160.5968418,4131,-21.08240509033203
1759301174.1521006,4181,-155.58192443847656
1759301201.1659422,4281,-11.502750396728516
1759301220.7738628,4357,-10.07739543914795
1759301233.7403586,4407,-67.01264190673828
1759301246.8111017,4457,-164.07994079589844
1759301263.6629546,4520,-1.3837260007858276
1759301276.5693035,4570,-13.375679016113281
1759301318.1645625,4720,-11.523032188415527
1759301331.0319455,4770,-15.14745807647705
1759301355.0745912,4860,-20.401229858398438
1759301357.766178,4870,-4.7852349281311035
1759301371.5405452,4920,-53.599178314208984
1759301376.0468035,4936,-6.257803916931152
1759301378.287007,4945,-1.4689271450042725
1759301391.4345481,4995,-128.03147888183594
1759301405.6637843,5050,-34.26752853393555
1759301429.0260406,5140,-30.55880355834961
1759301441.5472572,5190,-12.97587776184082
1759301454.4243503,5240,-66.46548461914062
1759301468.0131557,5290,-18.829288482666016
1759301498.3107402,5402,-16.0781307220459
1759301511.53473,5452,-38.78750991821289
1759301565.2342844,5652,-19.217620849609375
1759301578.2504559,5702,-47.94679260253906
1759301603.077962,5794,-10.252750396728516
1759301616.3962328,5844,-27.046154022216797
1759301616.718688,5845,-0.9631117582321167
1759301620.6413772,5859,-5.294549942016602
1759301625.8491166,5880,-12.367814064025879
1759301652.1127398,5980,-19.294485092163086
1759301678.6437252,6080,-21.44948387145996
1759301691.770992,6130,-30.826759338378906
1759301704.0562346,6180,-26.385536193847656
1759301716.9697347,6230,-27.242822647094727
1759301729.2249646,6280,-27.522998809814453
1759301742.2868896,6330,-16.750423431396484
1759301757.9689252,6390,-12.04682731628418
1759301770.0170033,6440,-63.90922927856445
1759301783.304842,6490,-11.483504295349121
1759301796.4219031,6540,-31.82915687561035
1759301809.5741806,6590,-141.59185791015625
1759301822.6904309,6640,-11.100196838378906
1759301840.9940355,6712,-8.0480375289917
1759301892.131423,6909,-22.78250503540039
1759301899.3429973,6936,-3.53491473197937
1759301912.759023,6986,-21.681467056274414
1759301925.2027862,7036,-40.3004150390625
1759301938.8854275,7086,-19.830265045166016
1759301949.0559766,7126,-39.44953536987305
1759301975.2297423,7226,-29.59341812133789
1759301988.4751863,7276,-57.76044845581055
1759302001.1857526,7326,-44.95647048950195
1759302026.9443703,7426,-16.370092391967773
1759302046.943944,7501,-33.29073715209961
1759302060.1916118,7551,-34.30986022949219
1759302073.4936976,7601,-9.463412284851074
1759302083.1588812,7638,-11.915568351745605
1759302096.5378504,7688,-110.80120849609375
1759302121.4045062,7788,-23.27134132385254
1759302134.4312565,7838,-32.21268081665039
1759302138.3343756,7852,-8.224865913391113
1759302144.4986784,7874,-19.407699584960938
1759302158.3988378,7924,-37.68949508666992
1759302180.9150653,8009,-47.337005615234375
1759302191.0265026,8047,-19.53569984436035
1759302196.7920415,8068,-8.265063285827637
1759302202.56315,8090,-3.8337299823760986
1759302215.8432426,8140,-34.34199523925781
1759302226.5178425,8181,-15.750312805175781
1759302239.1688406,8231,-11.163013458251953
1759302265.3600187,8331,-4.145620822906494
1759302277.9696715,8379,-10.534363746643066
1759302290.8602793,8429,-45.99986267089844
1759302303.6155121,8479,-10.080078125
1759302316.237545,8529,-25.86113739013672
1759302335.095172,8602,-5.103452205657959
1759302358.5432975,8690,-28.231334686279297
1759302371.8748403,8740,-14.778341293334961
1759302384.8101404,8790,-27.246906280517578
1759302393.2175255,8823,-19.532197952270508
1759302418.108007,8923,-49.05354690551758
1759302424.7740533,8949,-6.673983097076416
1759302438.452855,8999,-61.274559020996094
1759302451.1610742,9049,-37.06147384643555
1759302463.4765046,9099,-42.716217041015625
1759302477.344793,9149,-95.694091796875
1759302490.6516306,9199,-23.480688095092773
1759302503.6730134,9249,-37.86000442504883
1759302516.7646134,9299,-19.02617835998535
1759302529.5763924,9349,-10.810700416564941
1759302552.060674,9435,-19.110301971435547
1759302569.7315578,9503,-13.681105613708496
1759302583.0479796,9553,-16.759380340576172
1759302598.7942996,9615,-24.221956253051758
1759302612.1410182,9665,-35.747249603271484
1759302616.2371244,9680,-4.890729904174805
1759302629.8902996,9730,-11.027938842773438
1759302641.255388,9773,-23.070213317871094
1759302667.680658,9873,-42.38284683227539
1759302680.865933,9923,-35.94606399536133
1759302686.7519722,9946,-13.048550605773926
1759302714.0220246,10050,-38.13090896606445
1759302722.5161226,10082,-4.194699764251709
1759302735.4362292,10132,-110.56988525390625
1759302748.2009022,10182,-16.88953971862793
1759302761.2512426,10232,-25.713987350463867
1759302773.9923253,10282,-19.672496795654297
1759302786.714776,10332,-22.26934051513672
1759302795.7816553,10367,-9.39036750793457
