Wall time,Step,Value
1767919843.4542067,91,-1032.096435546875
1767919847.3829908,344,-334.2242736816406
1767919847.9549048,394,-158.61859130859375
1767919849.3693235,544,-210.937744140625
1767919850.159644,594,-277.09417724609375
1767919851.5773187,718,-1095.5400390625
1767919853.9940586,918,-89.44097137451172
1767919854.5129678,968,-93.889404296875
1767919861.1084387,1586,-276.6853332519531
1767919865.7490432,1918,-190.97128295898438
1767919866.2771156,1968,-168.18861389160156
1767919866.789452,2018,-118.67206573486328
1767919870.1156013,2268,-100.64614868164062
1767919872.6256814,2551,-1038.7073974609375
1767919873.3608422,2601,-208.74252319335938
1767919874.9164624,2751,-71.46051788330078
1767919875.3686705,2801,-312.1858215332031
1767919877.0004706,2951,-211.42861938476562
1767919877.4863532,3001,-149.62405395507812
1767919881.0676794,3301,-66.7696762084961
1767919884.0103176,3551,-105.72988891601562
1767919887.6501002,3901,-264.51971435546875
1767919892.595473,4353,-108.68898010253906
1767919895.368965,4553,-141.465087890625
1767919897.7366822,4703,-106.53307342529297
1767919898.1079733,4753,-54.259239196777344
1767919905.2922885,5413,-181.78628540039062
1767919907.3822794,5613,-290.2621765136719
1767919907.9317417,5663,-218.2468719482422
1767919909.0424676,5763,-60.73087692260742
1767919910.2968926,5863,-57.316200256347656
1767919913.8079011,6163,-65.5797348022461
1767919917.8759549,6531,-109.98243713378906
1767919918.7366247,6631,-135.94937133789062
1767919919.4621305,6681,-214.31863403320312
1767919921.6108894,6831,-347.46759033203125
1767919925.4358695,7181,-50.42296600341797
1767919926.832631,7328,-63.13492202758789
1767919927.8427656,7428,-128.20457458496094
1767919928.4919877,7528,-69.02112579345703
1767919932.5797284,7832,-12.91170597076416
1767919933.2542377,7882,-173.09323120117188
1767919935.812043,8091,-129.25294494628906
1767919939.9016733,8441,-117.76968383789062
1767919940.4027967,8491,-183.2174072265625
1767919941.0217776,8541,-48.04435729980469
1767919943.8029053,8791,-132.78895568847656
1767919944.4077215,8841,-114.85520935058594
1767919947.8248236,9142,-94.32836151123047
1767919949.2395706,9292,-90.87751007080078
1767919950.005096,9342,-129.32650756835938
1767919951.092318,9442,-62.66829299926758
1767919955.016823,9742,-188.87474060058594
1767919956.060705,9842,-117.3829574584961
1767919956.3365557,9867,-7.745617866516113
1767919958.829663,10115,-37.08253860473633
1767919960.629647,10315,-83.18641662597656
1767919963.769306,10565,-86.3614730834961
1767919972.8352072,11315,-96.87992095947266
1767919973.4674077,11365,-180.00022888183594
1767919979.6569972,11974,-63.75557327270508
1767919980.1790216,12024,-97.3131103515625
1767919980.8648238,12074,-65.08554077148438
1767919986.9500499,12624,-100.12645721435547
1767919988.7910182,12756,-49.20941162109375
1767919990.7262793,12956,-77.38360595703125
1767919992.68695,13156,-57.37968826293945
1767919994.2679305,13306,-104.51336669921875
1767919995.7757778,13456,-45.083953857421875
1767919997.1516373,13556,-42.96015548706055
1767920000.3487535,13806,-73.21953582763672
1767920000.974776,13906,-62.189979553222656
1767920001.3784356,13956,-83.8542709350586
1767920007.1412024,14456,-37.3945426940918
1767920009.4677715,14656,-64.29442596435547
1767920012.0656533,14856,-105.35099029541016
1767920013.2107377,14938,-21.716102600097656
1767920013.5436254,14988,-84.57669067382812
1767920015.8926578,15138,-62.8061637878418
1767920023.3017514,15810,-54.274375915527344
1767920028.3285856,16210,-120.63350677490234
1767920028.8739572,16260,-74.29198455810547
1767920033.922407,16617,-78.95089721679688
1767920036.0347161,16797,-65.07279968261719
1767920039.2137609,17097,-56.83116912841797
1767920039.555207,17147,-48.86379623413086
1767920040.0727954,17197,-52.34979248046875
1767920040.7809715,17247,-130.6780242919922
1767920047.6542683,17765,-23.18976402282715
1767920051.4484105,18100,-45.03492736816406
1767920053.3515682,18254,-87.52903747558594
1767920054.3681893,18354,-68.03240203857422
