Wall time,Step,Value
1758957665.3129196,217,-74.77224731445312
1758957805.6272056,675,-42.038818359375
1758957821.0705602,725,-93.13285064697266
1758957848.9732368,819,-37.956363677978516
1758957862.6985333,863,-25.936412811279297
1758957904.5362294,999,-30.77080535888672
1758957952.1942065,1151,-45.602909088134766
1758957967.4232068,1201,-33.22123718261719
1758958109.7307475,1667,-23.135448455810547
1758958202.4698117,1979,-17.252317428588867
1758958212.6102805,2013,-15.27321720123291
1758958219.5598729,2036,-4.550955295562744
1758958272.7737434,2220,-18.85135841369629
1758958378.5282512,2574,-27.409502029418945
1758958393.3522487,2624,-20.64315414428711
1758958419.6148672,2709,-29.421987533569336
1758958433.710873,2759,-8.362645149230957
1758958470.3689923,2879,-5.421977996826172
1758958480.483831,2914,-13.050209045410156
1758958536.5770833,3102,-18.700965881347656
1758958582.1631632,3256,-12.741584777832031
1758958651.984635,3486,-8.591653823852539
1758958761.7972312,3856,-28.725919723510742
1758958804.2906978,3997,-34.284358978271484
1758958835.3518965,4099,-27.27739715576172
1758958849.3832407,4149,-19.25904083251953
1758959019.568835,4708,-50.41818618774414
1758959064.9771817,4858,-58.172752380371094
1758959079.4077456,4908,-51.90093994140625
1758959096.1364086,4963,-40.84056091308594
1758959128.2090511,5069,-8.673197746276855
1758959202.9978168,5313,-14.653459548950195
1758959263.8725796,5518,-1.22960364818573
1758959286.5159247,5590,-10.70336627960205
1758959286.8100595,5591,-0.4317031800746918
1758959334.1929045,5741,-25.31069564819336
1758959410.2402081,5986,-6.982739448547363
1758959456.0082195,6136,-20.607696533203125
1758959481.2269065,6219,-34.79743957519531
1758959500.322893,6281,-19.238740921020508
1758959549.525857,6445,-6.345846176147461
1758959565.6544642,6495,-11.479913711547852
1758959616.146993,6664,-12.352988243103027
1758959694.5660527,6920,-14.140382766723633
1758959709.5281546,6970,-34.26103210449219
1758959714.3652399,6987,-4.27332067489624
1758959767.012729,7162,-9.985920906066895
1758959782.181064,7212,-35.464839935302734
1758959852.3385952,7449,-12.655649185180664
1758959894.9332066,7594,-21.668333053588867
1758959902.8039837,7618,-10.456782341003418
1758959931.7591515,7715,-11.01855754852295
1758959993.6251416,7921,-18.395740509033203
1758959998.6354864,7938,-4.02841329574585
1758960014.7082322,7990,-2.7419230937957764
1758960078.3868592,8206,-23.58719825744629
1758960083.6859343,8224,-4.564157962799072
1758960112.4818118,8323,-11.567777633666992
1758960175.9403687,8531,-13.237914085388184
1758960337.1382003,9071,-7.2457733154296875
1758960342.6471984,9088,-3.889192581176758
1758960499.3932073,9615,-7.590272426605225
1758960510.5162354,9653,-8.156936645507812
1758960516.8560157,9675,-10.98008918762207
1758960641.8380516,10082,-11.32653522491455
1758960685.4362068,10232,-36.74483871459961
1758960723.2698467,10358,-13.507855415344238
1758960767.0919402,10511,-35.3001708984375
1758960803.829593,10640,-25.494163513183594
1758960837.1987975,10749,-4.109356880187988
1758960866.907207,10849,-18.495527267456055
1758960916.6372046,11014,-21.084606170654297
1758960940.805948,11094,-12.332356452941895
1758960955.5035405,11144,-13.645963668823242
1758961010.2922268,11430,-5.5758466720581055
1758961034.1860473,11567,-7.107053279876709
1758961049.5587597,11664,-12.619624137878418
1758961054.4019074,11691,-12.445247650146484
1758961063.686756,11741,-13.585845947265625
1758961082.3606005,11842,-4.243727207183838
1758961162.9175456,12276,-0.15945865213871002
1758961171.2091982,12323,-11.537821769714355
1758961215.7183354,12573,-20.697921752929688
1758961219.3445315,12590,-14.227678298950195
1758961256.2206182,12798,-5.06148624420166
1758961272.6786146,12898,-11.994804382324219
1758961308.6906784,13097,-17.893983840942383
1758961345.6976385,13280,-5.976014137268066
1758961349.6807961,13306,-19.882505416870117
1758961358.3031943,13352,-7.3826212882995605
1758961366.92869,13402,-27.70520782470703
1758961449.0001268,13868,-44.27329635620117
1758961501.3631203,14163,-9.598123550415039
1758961516.049823,14254,-0.8984953165054321
1758961530.65793,14333,-32.142913818359375
1758961549.082725,14454,-10.941181182861328
1758961576.9387605,14612,-7.265475749969482
1758961591.7804677,14691,-14.220924377441406
1758961634.4117749,14940,-7.100775718688965
1758961681.8480954,15196,-18.064552307128906
1758961690.8882673,15246,-50.21938705444336
