Wall time,Step,Value
1759403582.915234,250,-50.0
1759403689.565544,950,-50.0
1759403861.8465688,2013,-50.0
1759403918.5380652,2338,-50.0
1759403926.765055,2388,-50.0
1759404035.0650964,3088,-50.0
1759404043.684942,3138,-50.0
1759404076.4730482,3338,-50.0
1759404101.5984626,3511,-50.0
1759404149.404188,3811,-50.0
1759404186.8334627,4061,-50.0
1759404234.1339643,4380,-50.0
1759404312.4694543,4880,-50.0
1759404335.813467,5043,-12.0
1759404368.869286,5243,-50.0
1759404478.234044,5914,-50.0
1759404532.059201,6264,-50.0
1759404547.654384,6364,-50.0
1759404653.6195483,7035,-50.0
1759404679.213109,7185,-50.0
1759404738.515692,7602,-50.0
1759404758.634173,7752,-50.0
1759404775.6993353,7852,-50.0
1759404787.3474166,7926,-50.0
1759404840.9486413,8264,-50.0
1759404981.0527875,9174,-50.0
1759405061.6886332,9676,-32.0
1759405070.3907554,9729,-50.0
1759405125.1713438,10067,-50.0
1759405238.8275633,10819,-1.0
1759405342.7826474,11499,-50.0
1759405350.3271477,11549,-50.0
1759405432.0983598,12087,-50.0
1759405439.569831,12137,-50.0
1759405521.630244,12668,-50.0
1759405545.2286053,12818,-50.0
1759405605.9866807,13185,-20.0
1759405628.76992,13335,-50.0
1759405690.6633368,13734,-7.0
1759405845.3081057,14702,-50.0
1759405869.2330487,14852,-50.0
1759405889.3254974,14983,-30.0
1759406043.4426758,15957,-50.0
1759406132.365017,16509,-38.0
1759406173.0379438,16767,-50.0
1759406183.741677,16833,-50.0
1759406273.095749,17379,-50.0
1759406335.7398264,17766,-50.0
1759406361.947655,17933,-50.0
1759406377.88669,18033,-50.0
1759406433.7250814,18374,-50.0
1759406446.339797,18456,-31.0
1759406512.7938507,18868,-50.0
1759406564.6933227,19190,-50.0
1759406638.0251377,19659,-50.0
1759406645.33504,19709,-50.0
1759406660.730564,19806,-50.0
1759406717.743427,20150,-50.0
1759406832.1388884,20807,-50.0
1759406865.4455023,21007,-50.0
1759406906.047611,21263,-50.0
1759406913.97339,21313,-50.0
1759406938.063156,21467,-4.0
1759406945.3690667,21517,-50.0
1759406979.1060872,21765,-35.0
1759407112.2308674,22604,-50.0
1759407125.8065188,22683,-50.0
1759407130.8521748,22712,-28.0
1759407139.3014908,22762,-50.0
1759407161.1037383,22912,-50.0
1759407177.0876184,23012,-50.0
1759407263.9514987,23524,-38.0
1759407272.0072098,23574,-50.0
1759407284.8988304,23651,-50.0
1759407301.3640308,23751,-50.0
1759407302.701053,23759,-6.0
1759407348.3107798,24019,-9.0
1759407388.5773182,24247,-50.0
1759407419.1100004,24447,-50.0
1759407460.8851767,24693,-16.0
1759407477.518118,24793,-50.0
1759407504.5302227,24967,-23.0
1759407613.7371142,25639,-8.0
1759407640.3787594,25812,-50.0
1759407649.0354698,25867,-6.0
1759407773.9211802,26661,-19.0
1759407831.854503,27049,-50.0
1759407866.7659295,27262,-48.0
1759407870.2307959,27283,-20.0
1759407922.989442,27621,-50.0
1759407950.4999504,27795,-18.0
1759407958.4671173,27845,-50.0
1759408017.943973,28277,-21.0
1759408072.4400725,28628,-33.0
1759408124.48802,28952,-22.0
1759408132.2299325,29002,-50.0
1759408237.2262874,29650,-44.0
1759408253.46854,29750,-50.0
1759408425.1483612,30793,-50.0
1759408449.467068,30943,-35.0
1759408481.2565997,31142,-50.0
1759408563.727099,31664,-14.0
1759408665.3123193,32281,-50.0
1759408713.6529334,32589,-3.0
1759408720.842118,32639,-50.0
1759408742.9072142,32786,-3.0
1759408781.7245934,33029,-13.0
1759408875.3144388,33600,-50.0
1759408879.9488637,33627,-26.0
1759408884.371298,33654,-18.0
1759408949.666027,34062,-50.0
1759409049.5601115,34652,-50.0
1759409177.2973995,35416,-5.0
1759409213.2586427,35639,-14.0
1759409245.8328757,35839,-16.0
1759409314.410437,36236,-50.0
1759409367.6345298,36569,-41.0
1759409399.8933115,36769,-50.0
1759409544.5359304,37675,-31.0
1759409554.962806,37737,-22.0
1759409620.3668394,38104,-50.0
1759409653.7400596,38296,-19.0
1759409740.0343816,38800,-50.0
1759409882.9809308,39672,-1.0
1759409904.6147568,39804,-35.0
1759409914.2957728,39871,-16.0
1759409969.5874271,40222,-50.0
1759410010.3620405,40465,-50.0
1759410033.1780276,40604,-1.0
1759410039.8229063,40646,-18.0
1759410079.68714,40903,-50.0
1759410166.1133323,41419,-42.0
1759410245.418269,41899,-50.0
1759410253.8882418,41949,-50.0
1759410260.7600648,41994,-7.0
1759410278.2790742,42107,-10.0
1759410324.072822,42387,-50.0
1759410391.7986937,42782,-19.0
