Wall time,Step,Value
1759469879.7588077,250,-50.0
1759469991.550719,930,-50.0
1759470176.7395666,2013,-50.0
1759470235.3026762,2363,-50.0
1759470237.7798212,2380,-16.0
1759470351.1233943,3080,-50.0
1759470359.6203759,3130,-50.0
1759470393.0023503,3330,-50.0
1759470425.845493,3530,-50.0
1759470470.1953907,3792,-50.0
1759470510.0706942,4026,-47.0
1759470568.4505174,4376,-50.0
1759470648.8571243,4876,-50.0
1759470681.1106474,5076,-50.0
1759470710.247001,5262,-50.0
1759470825.7721994,5960,-50.0
1759470851.5114005,6113,-2.0
1759470859.2936504,6163,-50.0
1759470875.4132326,6263,-50.0
1759470892.5496118,6363,-50.0
1759471005.441938,7041,-50.0
1759471029.7951076,7191,-50.0
1759471118.7901058,7691,-50.0
1759471143.6941228,7841,-50.0
1759471160.1324782,7941,-50.0
1759471176.5486298,8041,-50.0
1759471243.8433049,8441,-50.0
1759471278.1038356,8662,-50.0
1759471386.7708797,9319,-50.0
1759471468.5509512,9840,-50.0
1759471485.06637,9940,-50.0
1759471540.9143033,10283,-10.0
1759471661.1545,10999,-50.0
1759471776.330762,11687,-50.0
1759471782.842761,11723,-35.0
1759471875.1546965,12285,-50.0
1759471878.2939508,12304,-18.0
1759471969.8322983,12882,-50.0
1759471990.2698927,13002,-50.0
1759472045.2047615,13357,-50.0
1759472067.9337125,13502,-44.0
1759472104.373517,13736,-34.0
1759472139.6802135,13960,-50.0
1759472228.1600473,14485,-2.0
1759472289.485827,14844,-50.0
1759472305.7343109,14944,-50.0
1759472313.2210524,14994,-50.0
1759472337.1300373,15144,-50.0
1759472478.7008502,16004,-9.0
1759472486.1822386,16054,-50.0
1759472575.7117524,16592,-50.0
1759472625.9356627,16891,-50.0
1759472634.1967156,16941,-50.0
1759472642.6392207,16991,-50.0
1759472721.79305,17476,-50.0
1759472770.3281214,17781,-50.0
1759472794.8982365,17941,-30.0
1759472811.9852817,18041,-50.0
1759472880.033149,18443,-50.0
1759472888.7496967,18497,-3.0
1759472970.1259327,19002,-38.0
1759473015.0957718,19268,-50.0
1759473117.80025,19862,-44.0
1759473126.2162385,19912,-50.0
1759473150.4214256,20050,-88.0
1759473203.606006,20353,-19.0
1759473313.7207289,21019,-33.0
1759473341.4461627,21187,-50.0
1759473406.4162748,21588,-49.0
1759473414.0783765,21638,-50.0
1759473446.477427,21834,-50.0
1759473454.345454,21884,-50.0
1759473499.5221593,22143,-50.0
1759473640.1011925,23021,-50.0
1759473656.2289526,23121,-50.0
1759473664.676088,23171,-50.0
1759473673.6624663,23221,-50.0
1759473698.536001,23371,-50.0
1759473713.804909,23471,-50.0
1759473816.4333148,24088,-50.0
1759473821.7021284,24120,-31.0
1759473839.7895522,24220,-50.0
1759473857.5816433,24320,-50.0
1759473873.3219402,24405,-50.0
1759473902.73753,24571,-50.0
1759473919.1461604,24671,-50.0
1759473968.110288,24946,-50.0
1759473990.8078487,25075,-50.0
1759474040.3898542,25375,-50.0
1759474051.4103856,25443,-50.0
1759474081.813524,25628,-50.0
1759474173.784964,26186,-50.0
1759474214.043083,26405,-50.0
1759474247.911495,26605,-50.0
1759474262.424602,26695,-50.0
1759474378.6648138,27408,-16.0
1759474437.957019,27764,-50.0
1759474468.4643137,27945,-50.0
1759474472.2440267,27970,-24.0
1759474524.1057112,28293,-50.0
1759474567.0299776,28556,-50.0
1759474572.9278786,28594,-37.0
1759474667.2271585,29175,-50.0
1759474706.2393866,29413,-50.0
1759474766.3412843,29775,-50.0
1759474774.7102618,29825,-50.0
