Wall time,Step,Value
1759403531.3428543,250,-50.0
1759403536.3294613,735,-50.0
1759403536.9154525,785,-50.0
1759403538.791437,935,-50.0
1759403539.068253,955,-19.0
1759403540.1042085,1105,-50.0
1759403541.5272665,1305,-50.0
1759403541.868216,1355,-50.0
1759403568.12848,2005,-50.0
1759403625.8553708,2355,-50.0
1759403631.6483772,2405,-50.0
1759403638.4381087,2455,-50.0
1759403679.6799161,2705,-50.0
1759403746.409736,3105,-50.0
1759403755.4476357,3155,-50.0
1759403782.6578248,3305,-50.0
1759403791.3773394,3355,-50.0
1759403817.6939852,3505,-50.0
1759403825.888934,3555,-50.0
1759403869.399295,3855,-50.0
1759403905.1285174,4105,-50.0
1759403955.1234472,4421,-50.0
1759404035.5145936,4921,-50.0
1759404068.0020807,5121,-50.0
1759404091.9115086,5271,-50.0
1759404098.5426912,5321,-50.0
1759404158.589964,5771,-50.0
1759404197.49744,6021,-50.0
1759404228.716561,6221,-50.0
1759404235.939676,6271,-50.0
1759404251.3454652,6371,-50.0
1759404262.0158257,6443,-50.0
1759404310.5083883,6743,-50.0
1759404376.2822638,7143,-50.0
1759404392.417287,7243,-50.0
1759404400.0263894,7293,-50.0
1759404425.1577113,7443,-50.0
1759404479.6129897,7793,-50.0
1759404502.2304916,7943,-50.0
1759404510.0904908,8003,-9.0
1759404524.664137,8103,-50.0
1759404577.096922,8440,-50.0
1759404583.4789834,8481,-40.0
1759404623.2590601,8731,-50.0
1759404680.7001176,9081,-50.0
1759404687.6827812,9131,-50.0
1759404696.3128743,9181,-50.0
1759404729.4927993,9381,-50.0
1759404738.4302638,9431,-50.0
1759404747.262861,9481,-50.0
1759404801.9015658,9830,-50.0
1759404824.7647564,9980,-50.0
1759404837.40057,10050,-70.0
1759404852.859786,10150,-50.0
1759404868.923354,10250,-50.0
1759404900.3293319,10450,-50.0
1759404918.719033,10550,-50.0
1759404935.2947752,10650,-50.0
1759404977.2235317,10900,-50.0
1759404984.6345565,10950,-50.0
1759405008.5620987,11100,-50.0
1759405048.6537132,11350,-50.0
1759405166.243936,12100,-50.0
1759405174.8614843,12150,-50.0
1759405279.0412207,12800,-50.0
1759405286.608781,12850,-50.0
1759405294.445661,12900,-50.0
1759405381.2527394,13450,-50.0
1759405405.0158653,13600,-50.0
1759405420.4137766,13700,-50.0
1759405434.6127243,13800,-50.0
1759405466.0017793,14000,-50.0
1759405488.047226,14150,-50.0
1759405509.6249595,14300,-50.0
1759405525.2231622,14400,-50.0
1759405565.3531663,14650,-50.0
1759405581.254687,14750,-50.0
1759405587.9366634,14800,-50.0
1759405664.7837152,15277,-50.0
1759405695.130268,15477,-50.0
1759405725.0510895,15677,-50.0
1759405739.0059009,15777,-50.0
1759405746.560419,15827,-50.0
1759405769.5903623,15977,-50.0
1759405880.5571284,16727,-50.0
1759405887.8792644,16777,-50.0
1759405924.223576,17027,-49.0
1759405940.7401745,17127,-50.0
1759405948.8261828,17177,-50.0
1759405990.189981,17455,-50.0
1759406005.2398944,17555,-50.0
1759406029.7917504,17710,-50.0
1759406066.9941497,17953,-17.0
1759406074.9779394,18003,-50.0
1759406082.464182,18053,-50.0
1759406090.1553435,18103,-50.0
1759406176.7727516,18653,-50.0
1759406236.2752378,19053,-50.0
1759406269.328869,19253,-50.0
1759406286.1404078,19353,-50.0
1759406326.5816298,19603,-50.0
1759406366.5463147,19853,-50.0
1759406376.0354733,19913,-50.0
1759406465.302964,20477,-50.0
1759406509.468628,20777,-50.0
1759406516.9588146,20827,-50.0
1759406539.2554183,20975,-50.0
1759406617.5435848,21475,-50.0
1759406625.6179628,21525,-50.0
1759406640.4639428,21625,-50.0
1759406670.5488198,21825,-50.0
1759406677.9408207,21875,-50.0
1759406688.9446056,21942,-16.0
1759406718.5524457,22142,-50.0
1759406733.6217072,22242,-50.0
1759406764.175189,22442,-50.0
1759406804.7337081,22692,-50.0
1759406820.4973202,22812,-32.0
1759406842.8564517,22962,-50.0
1759406860.269744,23062,-50.0
1759406891.792087,23256,-50.0
1759406900.959947,23306,-50.0
1759406932.8987348,23515,-50.0
1759406941.1196296,23565,-50.0
1759406992.509069,23865,-50.0
1759407009.3144608,23965,-50.0
1759407045.3193963,24215,-50.0
1759407156.3175447,24962,-50.0
1759407164.5516922,25012,-50.0
1759407171.4489193,25062,-50.0
1759407177.5366607,25112,-50.0
1759407183.2603889,25162,-50.0
1759407189.073237,25212,-50.0
1759407209.5213928,25362,-50.0
1759407216.1305947,25412,-50.0
1759407219.7185297,25439,-26.0
1759407314.2946208,26062,-50.0
1759407320.263453,26112,-50.0
1759407332.7177603,26212,-50.0
1759407337.656287,26262,-50.0
1759407344.436633,26312,-50.0
1759407358.2149308,26412,-50.0
1759407388.4458086,26612,-50.0
1759407403.4954636,26712,-50.0
1759407434.242331,26912,-50.0
1759407449.7120848,27012,-50.0
1759407479.335936,27212,-50.0
1759407521.368208,27479,-50.0
1759407535.9479475,27579,-50.0
1759407566.026007,27779,-50.0
1759407597.1977367,27981,-50.0
1759407689.8121986,28531,-50.0
1759407697.154024,28581,-50.0
1759407722.2682636,28731,-50.0
1759407738.6966894,28831,-50.0
1759407746.8307004,28881,-50.0
1759407769.1731021,29031,-50.0
1759407779.0175815,29102,-20.0
1759407838.689951,29452,-50.0
1759407882.2094636,29702,-50.0
1759407921.5860865,29952,-50.0
1759407922.8792694,29960,-7.0
1759407989.8463693,30373,-43.0
1759407999.0516088,30423,-50.0
1759408026.4980755,30573,-50.0
1759408041.9104192,30673,-50.0
1759408050.0973225,30723,-50.0
1759408083.6898587,30923,-50.0
1759408114.3205085,31123,-50.0
1759408157.6934888,31423,-50.0
1759408166.2938135,31473,-50.0
1759408205.5955565,31723,-50.0
1759408222.915696,31823,-50.0
1759408256.086237,32023,-50.0
1759408277.1262703,32173,-50.0
1759408292.8652651,32273,-50.0
1759408338.4017446,32590,-50.0
1759408359.4937954,32740,-50.0
1759408398.4068687,32990,-50.0
1759408406.8783054,33040,-50.0
1759408437.8387253,33230,-50.0
1759408470.0328078,33430,-50.0
1759408532.0138688,33830,-50.0
1759408548.0391152,33930,-50.0
1759408573.4392807,34080,-50.0
1759408610.8607686,34330,-50.0
1759408673.411039,34730,-50.0
1759408710.6219332,34980,-50.0
1759408759.0684917,35280,-50.0
1759408775.4281688,35380,-50.0
1759408792.5645378,35480,-50.0
1759408800.0598469,35530,-50.0
1759408816.0236168,35630,-50.0
1759408824.4328647,35680,-50.0
1759408841.0153623,35780,-50.0
1759408848.711993,35830,-50.0
1759408857.5437512,35880,-50.0
1759408897.7901804,36130,-50.0
1759408948.2426906,36430,-50.0
1759409098.7728863,37430,-50.0
1759409106.0561235,37480,-50.0
1759409162.278212,37793,-50.0
1759409187.025959,37943,-50.0
1759409195.0153563,37993,-50.0
1759409204.9637265,38059,-15.0
1759409221.4305007,38159,-50.0
1759409237.3329363,38259,-50.0
1759409283.480452,38559,-50.0
1759409406.9080567,39325,-50.0
1759409414.9028826,39375,-50.0
1759409427.0153458,39449,-23.0
1759409452.066067,39599,-50.0
1759409519.8594458,39994,-50.0
1759409528.8279312,40050,-56.0
1759409598.4047732,40500,-50.0
1759409625.1783128,40700,-50.0
1759409633.730551,40750,-50.0
1759409650.989069,40850,-50.0
1759409659.1082048,40900,-50.0
1759409690.3836856,41100,-50.0
1759409715.1288097,41250,-50.0
1759409726.267801,41316,-15.0
1759409774.5057492,41616,-50.0
1759409815.3847537,41916,-50.0
1759409838.6535766,42066,-50.0
1759409854.9035144,42166,-50.0
1759409887.4828084,42366,-50.0
1759409918.716456,42566,-50.0
1759409925.5930927,42616,-50.0
1759410025.5943203,43260,-50.0
1759410040.874016,43360,-50.0
1759410087.5800292,43660,-50.0
1759410109.9885042,43810,-50.0
1759410125.1690965,43910,-50.0
1759410156.974317,44110,-50.0
1759410164.02078,44160,-50.0
1759410200.2223508,44385,-50.0
1759410215.9440641,44485,-50.0
1759410267.5814812,44825,-50.0
1759410345.5946078,45325,-50.0
1759410360.0543506,45425,-50.0
1759410367.641564,45475,-50.0
1759410374.2822294,45525,-50.0
1759410447.0787275,46025,-50.0
1759410491.2695093,46343,-50.0
1759410514.3580418,46493,-50.0
1759410534.5949762,46643,-50.0
1759410591.0524654,47006,-50.0
1759410719.509092,47806,-50.0
1759410737.8482137,47934,-50.0
1759410768.982361,48134,-50.0
1759410800.0288672,48334,-50.0
1759410816.7900405,48434,-50.0
1759410832.5716186,48534,-50.0
1759410873.676474,48784,-50.0
1759410900.4587479,48934,-50.0
1759410908.2202997,48984,-50.0
1759410915.9452708,49034,-50.0
1759410929.175996,49122,-50.0
1759410982.9543464,49472,-50.0
1759410998.5238066,49572,-50.0
1759411050.5731766,49922,-50.0
1759411088.4536126,50150,-50.0
1759411104.6431699,50250,-50.0
1759411164.5604396,50603,-50.0
1759411173.1994107,50653,-50.0
1759411244.2703404,51103,-50.0
1759411316.6016068,51554,-50.0
1759411349.7744062,51754,-50.0
1759411365.3355935,51854,-50.0
1759411429.5615036,52254,-50.0
1759411438.2240767,52304,-50.0
1759411455.2860725,52404,-50.0
1759411489.827724,52604,-50.0
1759411558.5583487,53054,-50.0
1759411649.2800074,53629,-50.0
1759411680.8203397,53829,-50.0
1759411696.333799,53929,-50.0
1759411717.6415982,54079,-50.0
1759411733.3573406,54179,-50.0
1759411749.051203,54279,-50.0
1759411773.3360436,54429,-50.0
1759411827.4280314,54779,-50.0
1759411834.4013395,54829,-50.0
1759411857.0938547,54979,-50.0
1759411865.2107372,55029,-50.0
1759411886.7741601,55179,-50.0
1759411903.5560951,55291,-50.0
1759411917.5892608,55391,-50.0
1759411956.3050182,55641,-50.0
1759412015.317559,55991,-50.0
1759412053.5588076,56241,-50.0
1759412061.090533,56291,-50.0
1759412136.4393864,56766,-50.0
1759412151.4820485,56866,-50.0
1759412231.6179829,57366,-50.0
1759412248.2944605,57466,-50.0
1759412256.3152225,57516,-50.0
1759412296.2271035,57766,-50.0
1759412310.8539643,57866,-50.0
1759412346.648432,58116,-50.0
1759412378.2973745,58316,-50.0
1759412385.1805751,58366,-50.0
1759412477.641932,58948,-50.0
1759412540.1745675,59348,-50.0
1759412569.650481,59548,-50.0
1759412610.4594426,59791,-50.0
1759412624.552349,59891,-50.0
1759412654.5656624,60090,-39.0
1759412773.8966393,60840,-50.0
1759412789.7988582,60940,-50.0
1759412818.2587419,61124,-50.0
1759412825.8899796,61174,-50.0
1759412833.6069376,61224,-50.0
1759412848.8975122,61324,-50.0
1759412875.2619205,61474,-50.0
1759412899.0202448,61624,-50.0
1759412907.251728,61674,-50.0
1759412954.7004526,61974,-50.0
1759412981.048026,62126,-1.0
1759413021.6117017,62376,-50.0
1759413039.7734873,62476,-50.0
1759413071.6277003,62676,-50.0
1759413094.4197884,62826,-50.0
1759413137.114643,63076,-50.0
1759413159.641927,63226,-50.0
1759413198.7880197,63476,-50.0
1759413200.040726,63484,-7.0
1759413225.589261,63634,-50.0
1759413252.9196198,63819,-34.0
1759413319.171322,64237,-17.0
1759413370.1482291,64545,-47.0
1759413391.3496733,64677,-50.0
1759413395.5580788,64704,-26.0
1759413465.558303,65154,-50.0
1759413548.636016,65654,-50.0
1759413572.4847472,65804,-50.0
1759413620.189128,66104,-50.0
1759413665.9001195,66403,-50.0
1759413697.84856,66603,-50.0
1759413778.838231,67144,-50.0
1759413787.0386765,67194,-50.0
1759413815.6955066,67394,-50.0
1759413852.06533,67618,-50.0
1759413884.0001328,67818,-50.0
1759413907.3478403,67968,-50.0
1759414093.761631,69160,-50.0
1759414124.8499427,69360,-50.0
1759414201.7088366,69833,-50.0
1759414242.5008667,70100,-50.0
1759414258.2824755,70200,-50.0
1759414266.402205,70250,-50.0
1759414274.9303012,70300,-50.0
1759414283.289516,70350,-50.0
1759414346.873571,70724,-50.0
1759414415.9159317,71124,-50.0
1759414424.1599061,71174,-50.0
1759414442.0705438,71274,-50.0
1759414451.8640451,71324,-50.0
1759414551.4314651,71924,-50.0
1759414560.842996,71974,-50.0
1759414571.5394044,72040,-50.0
1759414659.1752944,72575,-50.0
1759414684.8283727,72725,-50.0
1759414712.7081306,72887,-50.0
1759414744.8810725,73087,-50.0
1759414772.547512,73287,-50.0
1759414825.456461,73637,-50.0
1759414831.1022286,73687,-50.0
1759414838.5781736,73737,-50.0
1759414853.2757497,73837,-50.0
1759414876.255521,73987,-50.0
1759414969.6022239,74587,-50.0
1759415014.7522805,74887,-50.0
1759415038.0639641,75037,-50.0
1759415045.011179,75087,-50.0
1759415124.8447294,75587,-50.0
1759415148.9410453,75737,-50.0
1759415157.8213627,75787,-50.0
1759415222.7544603,76219,-50.0
1759415247.8209152,76369,-50.0
1759415257.7568638,76419,-50.0
1759415275.1596582,76519,-50.0
1759415305.9532247,76719,-50.0
1759415314.68911,76769,-50.0
1759415334.4345937,76919,-50.0
1759415365.152003,77119,-50.0
1759415407.4190514,77369,-50.0
1759415499.5836418,77919,-50.0
1759415538.41204,78163,-50.0
1759415556.1963687,78263,-50.0
1759415618.064991,78641,-50.0
1759415741.324107,79440,-50.0
1759415802.4854915,79806,-15.0
1759415817.0474567,79906,-50.0
1759415839.0791435,80050,-90.0
1759415874.9386108,80273,-1.0
1759415883.6730235,80323,-50.0
1759415939.5513349,80673,-50.0
1759415999.9418886,81050,-50.0
1759416031.1172345,81250,-50.0
1759416062.8262665,81450,-50.0
1759416087.3626704,81622,-21.0
1759416110.3420906,81772,-50.0
1759416125.2087038,81872,-50.0
1759416173.0697606,82172,-50.0
1759416182.730408,82222,-50.0
1759416191.3279393,82272,-50.0
1759416200.5603595,82322,-50.0
1759416247.600574,82622,-50.0
1759416256.877391,82672,-50.0
1759416317.8604293,83022,-50.0
1759416328.789978,83095,-50.0
1759416353.1677217,83245,-50.0
1759416367.3936396,83345,-50.0
1759416374.522542,83395,-50.0
1759416382.575256,83445,-50.0
1759416443.8312442,83795,-50.0
1759416478.830863,83995,-50.0
1759416487.9619145,84045,-50.0
1759416504.5489469,84145,-50.0
1759416546.0754385,84395,-50.0
1759416601.646351,84773,-50.0
1759416610.0043294,84823,-50.0
1759416640.5620904,85023,-50.0
1759416656.2433934,85123,-50.0
1759416723.8182983,85523,-50.0
1759416732.143403,85573,-50.0
1759416818.4679437,86123,-50.0
1759416891.8729324,86623,-50.0
1759416906.4246724,86723,-50.0
1759416918.0010579,86801,-1.0
1759416950.1399798,87001,-50.0
1759416958.1123936,87051,-50.0
1759416966.4497595,87101,-50.0
1759416988.8152425,87251,-50.0
1759417014.1127257,87401,-50.0
1759417048.036279,87601,-50.0
1759417080.814135,87801,-50.0
1759417225.1058583,88688,-50.0
1759417256.8720658,88888,-50.0
1759417291.7503433,89088,-50.0
1759417315.3572006,89238,-50.0
1759417328.6153715,89311,-50.0
1759417360.3081102,89511,-50.0
1759417375.7660441,89611,-50.0
1759417450.7828498,90100,-50.0
1759417478.9473825,90286,-50.0
1759417542.6715746,90699,-50.0
1759417581.7861893,90949,-50.0
1759417589.1913261,90999,-50.0
1759417596.7959852,91049,-50.0
1759417708.811764,91699,-50.0
1759417734.8120885,91849,-50.0
1759417771.931086,92099,-50.0
1759417823.8351595,92449,-50.0
1759417858.7234032,92649,-50.0
1759417884.0424337,92799,-50.0
1759417930.6573434,93068,-50.0
1759417939.5060813,93118,-50.0
1759417947.7784548,93168,-50.0
1759417973.3942795,93318,-50.0
1759418014.7737062,93568,-50.0
1759418063.4665475,93868,-50.0
1759418072.2481966,93918,-50.0
1759418147.499933,94418,-50.0
1759418154.1112359,94468,-50.0
1759418183.824146,94668,-50.0
1759418191.513279,94718,-50.0
1759418222.549215,94918,-50.0
1759418240.074122,95018,-50.0
1759418282.5472827,95267,-50.0
1759418304.3087027,95393,-25.0
1759418335.4937193,95593,-50.0
1759418342.7822206,95643,-50.0
1759418356.0284977,95728,-50.0
1759418364.532392,95778,-50.0
1759418380.1668026,95878,-50.0
1759418453.6008549,96361,-50.0
1759418469.1015384,96461,-50.0
1759418537.1443624,96861,-50.0
1759418545.4787405,96911,-50.0
1759418570.1539226,97061,-50.0
1759418839.707947,98653,-7.0
1759418916.2836144,99103,-50.0
1759418925.2422469,99153,-50.0
1759418984.7612023,99503,-50.0
1759419019.468642,99703,-50.0
1759419084.768942,100100,-50.0
1759419093.1756341,100150,-50.0
1759419183.1695797,100714,-50.0
1759419206.6846838,100864,-50.0
1759419278.2947478,101314,-50.0
1759419337.5960479,101714,-50.0
1759419351.693249,101798,-33.0
1759419418.352655,102198,-50.0
1759419427.1203837,102248,-50.0
1759419443.9285572,102348,-50.0
1759419469.1452506,102498,-50.0
1759419515.8203044,102798,-50.0
1759419524.4959102,102848,-50.0
1759419556.447073,103048,-50.0
1759419564.5335612,103098,-50.0
1759419595.8112388,103298,-50.0
1759419604.2241766,103348,-50.0
1759419627.177588,103498,-50.0
1759419635.022832,103548,-50.0
1759419661.2009227,103698,-50.0
1759419736.6057377,104148,-50.0
1759419758.3728683,104282,-50.0
1759419835.7180748,104782,-50.0
1759419915.8592353,105282,-50.0
