Wall time,Step,Value
1759568741.4628665,250,-50.0
1759568824.5951684,750,-50.0
1759568833.6751537,800,-50.0
1759568857.124078,950,-50.0
1759568864.495599,1000,-50.0
1759568890.605419,1150,-50.0
1759568918.835978,1339,-50.0
1759568926.361533,1389,-50.0
1759569029.0932267,2020,-50.0
1759569084.5809307,2370,-50.0
1759569091.0875044,2420,-50.0
1759569098.6218116,2470,-50.0
1759569140.0355787,2720,-50.0
1759569203.7316031,3105,-50.0
1759569211.5233092,3155,-50.0
1759569231.685319,3277,-50.0
1759569240.607016,3327,-50.0
1759569258.0758882,3429,-1.0
1759569265.7958534,3479,-50.0
1759569309.9662497,3779,-50.0
1759569348.7257705,4029,-50.0
1759569398.5518804,4353,-50.0
1759569469.6612515,4853,-50.0
1759569500.4882987,5053,-50.0
1759569522.6860623,5203,-50.0
1759569531.3309367,5253,-50.0
1759569630.6951406,5861,-50.0
1759569662.5819325,6061,-50.0
1759569671.8781261,6111,-50.0
1759569686.3932576,6211,-50.0
1759569701.0151818,6311,-50.0
1759569742.3291907,6565,-50.0
1759569806.846456,6965,-50.0
1759569822.326881,7065,-50.0
1759569830.5870733,7115,-50.0
1759569852.775053,7265,-50.0
1759569902.3623405,7596,-50.0
1759569923.312396,7746,-50.0
1759569938.738587,7846,-50.0
1759569955.4210045,7946,-50.0
1759570016.5612812,8296,-50.0
1759570023.6543303,8346,-50.0
1759570063.9906123,8585,-50.0
1759570121.6822042,8935,-50.0
1759570130.127558,8985,-50.0
1759570138.5987833,9035,-50.0
1759570179.0023248,9285,-50.0
1759570186.023946,9335,-50.0
1759570243.8018126,9685,-50.0
1759570267.381268,9835,-50.0
1759570275.7310925,9885,-50.0
1759570290.9362862,9985,-50.0
1759570344.2767854,10300,-50.0
1759570361.4583833,10400,-50.0
1759570377.691816,10495,-44.0
1759570419.6243002,10745,-50.0
1759570427.2098846,10795,-50.0
1759570451.6424184,10945,-50.0
1759570493.0080075,11195,-50.0
1759570614.0462062,11933,-50.0
1759570621.4829538,11983,-50.0
1759570727.068234,12633,-50.0
1759570732.3825743,12668,-34.0
1759570740.2183702,12718,-50.0
1759570827.6303232,13268,-50.0
1759570850.3072007,13418,-50.0
1759570878.7293673,13600,-50.0
1759570904.7372828,13757,-6.0
1759570926.3673127,13907,-50.0
1759570942.2618885,14019,-50.0
1759570956.2052877,14119,-50.0
1759570994.6419423,14369,-50.0
1759571011.6543903,14469,-50.0
1759571019.7553687,14519,-50.0
1759571097.4962296,14989,-50.0
1759571128.3513627,15189,-50.0
1759571162.5369627,15389,-50.0
1759571179.750424,15489,-50.0
1759571187.40119,15539,-50.0
1759571205.2086413,15663,-50.0
1759571329.6882834,16413,-50.0
1759571337.213313,16463,-50.0
1759571397.0383716,16813,-50.0
1759571404.9582324,16863,-50.0
1759571448.9385726,17163,-50.0
1759571466.706192,17263,-50.0
1759571498.6939454,17463,-50.0
1759571547.5180912,17763,-50.0
1759571554.9009004,17813,-50.0
1759571561.8269079,17863,-50.0
1759571565.6102664,17887,-23.0
1759571633.6232991,18307,-3.0
1759571700.0265284,18707,-50.0
1759571733.8889856,18907,-50.0
1759571744.5661986,18975,-50.0
1759571783.163021,19208,-32.0
1759571819.753211,19446,-50.0
1759571834.9967883,19546,-50.0
1759571927.7430327,20100,-50.0
1759571979.6542659,20400,-50.0
1759571988.0515501,20450,-50.0
1759572020.6082428,20650,-50.0
1759572101.7111285,21150,-50.0
1759572110.0382602,21200,-50.0
1759572127.2122607,21300,-50.0
1759572149.622109,21450,-3.0
1759572157.4817948,21500,-50.0
1759572173.2117672,21600,-50.0
1759572202.561056,21786,-50.0
1759572219.0720365,21886,-50.0
1759572227.3700953,22054,-50.0
1759572229.3208702,22304,-50.0
1759572231.0202851,22504,-50.0
1759572238.504166,22654,-50.0
1759572255.5334842,22754,-50.0
1759572289.0179555,22954,-50.0
1759572297.3235538,23004,-50.0
1759572337.3364832,23254,-50.0
1759572345.0943027,23304,-50.0
1759572395.691863,23604,-50.0
1759572411.7672882,23704,-50.0
1759572448.6808872,23943,-38.0
1759572577.2987156,24743,-50.0
1759572585.4133368,24793,-50.0
1759572593.799288,24843,-50.0
1759572602.035981,24893,-50.0
1759572610.4051468,24943,-50.0
1759572634.121308,25093,-50.0
1759572642.1335728,25143,-50.0
1759572650.7771332,25193,-50.0
1759572760.4219553,25854,-50.0
1759572769.3482714,25904,-50.0
1759572786.4206023,26004,-50.0
1759572794.4957623,26054,-50.0
1759572803.6339884,26104,-50.0
1759572818.9821122,26204,-50.0
1759572851.0013509,26404,-50.0
1759572863.8938222,26487,-32.0
1759572896.4351728,26687,-50.0
1759572908.1299024,26757,-19.0
1759572940.6255426,26957,-50.0
1759572983.8710015,27222,-50.0
1759573000.946984,27322,-50.0
1759573033.4702442,27521,-50.0
1759573069.359005,27743,-50.0
1759573156.4435704,28293,-50.0
1759573164.2489963,28343,-50.0
1759573189.0932622,28493,-50.0
1759573206.4530942,28593,-50.0
1759573214.509564,28643,-50.0
1759573239.1340895,28793,-50.0
1759573255.605344,28893,-50.0
1759573313.9810424,29243,-50.0
1759573359.2484639,29493,-50.0
1759573395.5541718,29697,-50.0
1759573403.9245074,29747,-50.0
1759573470.132253,30150,-50.0
1759573478.9464269,30200,-50.0
1759573503.8570259,30350,-50.0
1759573519.8376749,30450,-50.0
1759573527.9651725,30500,-50.0
1759573560.1294127,30700,-50.0
1759573593.1163974,30900,-50.0
1759573645.6560476,31200,-50.0
1759573653.6579978,31250,-50.0
1759573692.5572505,31500,-50.0
1759573708.2454538,31600,-50.0
1759573737.6037643,31800,-50.0
1759573762.52237,31950,-50.0
1759573772.4366243,32003,-2.0
1759573822.8143268,32312,-50.0
1759573847.7832637,32462,-50.0
1759573887.035647,32709,-50.0
1759573894.0965068,32759,-50.0
1759573927.0555487,32959,-50.0
1759573956.7618282,33125,-15.0
1759574024.1362283,33525,-50.0
1759574040.8643281,33625,-50.0
1759574065.588302,33775,-50.0
1759574172.5006053,34425,-50.0
1759574215.4362307,34675,-50.0
1759574263.6753383,34975,-50.0
1759574278.676217,35075,-50.0
1759574294.6403341,35175,-50.0
1759574302.5373855,35225,-50.0
1759574318.568134,35325,-50.0
